,Arquivo,FRASE,Polaridade,OBJ/SUBJ
0,0_10002.txt,"é um belo produto, tem que ser mas bem programado pois a programação deixa a desejar tem poucas funções mas da pro gasto não é completo mas da pra uzar.",1,subjetiva
1,0_102555.txt,muito bom,1,subjetiva
2,0_118743.txt,produto na minha opiniao poderia sem melhor com mais qualidade de acabamento.,-1,subjetiva
3,0_119563.txt,"Esse notebook possui varios recursos para o entretenimento, bom para jogos e assistir videos e filmes, possui saída de video HDMI, pela qual pode se conectar o notebook a uma TV LCD ou LED com entradas HDMI.",1,subjetiva
4,0_119563.txt,Ótimo para se navegar na internet e tambem para qualquer tipo de trabalho,1,subjetiva
5,0_119601.txt,"é basicamente isso, alem de outros modelos tem melhor recepção pra conexão sem fio.no mais é otimo",1,subjetiva
6,0_133953.txt,É maravilhoso tudo estou a desposição para falar sobre os produtos.,1,subjetiva
7,0_134006.txt,acho deve ser bom !,1,subjetiva
8,0_134006.txt,como posso opnar por algo que não experimentei ?,1,subjetiva
9,0_140243.txt,"Produto bem acima do básico, com boa memória e conectividade.",1,subjetiva
10,0_140243.txt,Valeu pelo custo-benefício.,1,subjetiva
11,0_140370.txt,"ele tem bom preço facil de usar,moderno",1,subjetiva
12,0_144606.txt,"Um ótimo celular, confiável e sem firulas.",1,subjetiva
13,0_144620.txt,Pelo custo para um primeiro Smartphone poderia ser um pouquinho melhor,-1,subjetiva
14,0_151870.txt,Não compraria de novo.,-1,subjetiva
15,0_151870.txt,"Apesar de bonito, tive problemas com ele.",-1,subjetiva
16,0_151870.txt,Estou tentando falar no site da Sony Ericsson e não tem um sistema de Fale Conosco pois estou com receio de que tenha outros problemas.,-1,subjetiva
17,0_151870.txt,Ter que reiniciar o telefone e ficar com a sensação de que a bateria vai acabar a qualquer momento é muito chato.,-1,subjetiva
18,0_151870.txt,"Indico Nokia, nunca tive problemas com esta marca.",-1,subjetiva
19,0_151978.txt,"Se você está pensando em comprar este smartphone pelo preço visando atualização para Android 2.x, esqueça.",-1,subjetiva
20,0_151978.txt,"Não vai haver atualização oficial e as atualizações alternativas podem até funcionar, mas apresentam riscos e perda de garantia.",-1,subjetiva
21,0_15738.txt,"A LG está muito bem no mercado, essa tv é de excelente qualidade, tem várias funções de fácil manuseio.",1,subjetiva
