,FINAL,FRASE,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,OBJ/SUBJ
0,-1,notebook da dell é um lixo,,,,,,,,,,1677.0,objetiva,"0,723780751",subjetiva
1,0,hashtag notebook dell inspiron i14 number b10 ar number number à vista ou em 4x sem juros no … url,,,,,,,,,,640.0,subjetiva,"0,276219249",objetiva
2,-2,to aqui olhando notebook da dell e vi um de number por um momento achei que tava no site da apple,,,,,,,,,,2317.0,Total,,subjetiva
3,0,semana do cliente fnac continua com ofertas de notebook dell e samsung url …,,,,,,,,,,,,,objetiva
4,0,problemas com o teclado do seu notebook dell adquira um novo bebê baterias confira os preços url,,,,,,,,,,,,,objetiva
5,0,então vamos começar mudando para um notebook dell vostro url,,,,,,,,,,,,,objetiva
6,-1,username o problema é que o meu notebook que estragou era justamente da dell não tive uma experiência boa com ela emoticon,,,,,,,,,,,,,subjetiva
7,0,cardadores malos para notebook acer asus dell hp la en ovo sony samsung toshiba para bell mac,,,,,,,,,,,,,objetiva
8,-1,eu odeio esse notebook da dell mano vocês não tem noção hashtag,,,,,,,,,,,,,subjetiva
9,0,notebook dell vostro v14t number b30 intel core i5 4gb 2gb de memória dedicada number 0gb led number touchscreen windows number url,,,,,,,,,,,,,objetiva
10,0,hashtag compre um super notebook com qualidade dell confira url,,,,,,,,,,,,,objetiva
11,0,para en se em qualidade ao comprar um notebook pense em dell emoticon compre com number de desconto à vista url,,,,,,,,,,,,,objetiva
12,0,comece a semana com a qualidade de um notebook dell inspiron e desconto de number à vista url de,,,,,,,,,,,,,objetiva
13,1,username quero mandar de volta e cancelar a compra não gostei desse notebook prefiro muito mais um dell depois dessa hp nunca mais,,,,,,,,,,,,,subjetiva
14,0,análise notebook dell xps number vi de o url …,,,,,,,,,,,,,objetiva
15,0,notebook dell latitude e6410 core i5 number 8gb ram hd number 0gb ar number parcelo,,,,,,,,,,,,,objetiva
16,-1,username por nada eu tenho um notebook dell e já passei muita dor de cabeça com ele,,,,,,,,,,,,,subjetiva
17,0,gostei de um vídeo username de username url boeing notebook dell a40,,,,,,,,,,,,,objetiva
18,1,username notebook gosto da marca dell sites o próprio site da dell americanas magazine luiza,,,,,,,,,,,,,subjetiva
19,0,cardadores malos para notebook acer asus dell hp la en ovo sony samsung toshiba para bell mac,,,,,,,,,,,,,objetiva
20,1,volta pra mim notebook da dell seu lindo sinto falta de apertar suas teclas,,,,,,,,,,,,,subjetiva
21,0,vem ii escâner de diagnostico original ford mercury lincoln cu number opcional notebook dell cu number placo de url,,,,,,,,,,,,,objetiva
22,-1,comprar memória pro notebook impossível o jeito é reclamar da dell no username url … username username username,,,,,,,,,,,,,subjetiva
23,0,ninguém ai quer comprar um notebook da dell i5 não,,,,,,,,,,,,,objetiva
24,0,gostei de um vídeo username url … offboardcomo ativar placa de video dedicada notebook dell,,,,,,,,,,,,,objetiva
25,1,tinha um notebook dell com falantes bel e era um show troquei por um hp com beats funk,,,,,,,,,,,,,subjetiva
26,0,alguém tem um carregador de notebook da dell disponível ai pra doação o meu já era,,,,,,,,,,,,,objetiva
27,0,dell concertou meu notebook de graça via suporte remoto,,,,,,,,,,,,,objetiva
28,-1,que merda de notebook esse dell de bosta,,,,,,,,,,,,,subjetiva
29,0,fonte carregadora notebook dell alguém tem pra vender,,,,,,,,,,,,,objetiva
30,1,vou te trocar notebook foi muito bom esses number anos que passamos juntos love cu mas não da para ser assim hashtag hashtag link permanente da imagem incorporada,,,,,,,,,,,,,subjetiva
31,-1,estou extremamente insatisfeita com meu notebook dell novo pois a placa wireless intel number conectividade ruim username username,,,,,,,,,,,,,subjetiva
32,0,gostei de um vídeo username url … notebook dell inspiron number série number number,,,,,,,,,,,,,objetiva
33,-1,a dell viu meu nome e me vendeu o notebook com defeito não é possível um i5 6gb de memória que não rende o que uns i3 2gb rendem por ai,,,,,,,,,,,,,subjetiva
34,0,shauhsauhs comprei meu notebook deus e pai dell grilado,,,,,,,,,,,,,objetiva
35,1,username acredite a dell é uma das poucas marcas de notebook que ainda prestam tinha um notebook da hp que obsessos wi fi derretia,,,,,,,,,,,,,subjetiva
36,0,username e comprar um adaptador usb a dell falou pra mandar o notebook pra garantia mas ela não garantia o conserto e etc ¯ ¯,,,,,,,,,,,,,objetiva
37,-1,meu notebook atual veio com antivírus mcafee meu deus como é ruim por que a dell trocou a norton por eles hein,,,,,,,,,,,,,subjetiva
38,0,notebook ultrafino dell vostro v14t number a20 com intel core i5 4gb 2gb de memória dedicada url,,,,,,,,,,,,,objetiva
39,0,gostei de um vídeo username url … offboardcomo ativar placa de video dedicada notebook dell,,,,,,,,,,,,,objetiva
40,0,dell latitude e6510 notebook computer intel url hashtag hashtag url,,,,,,,,,,,,,objetiva
41,0,username olá comprei uma bateria nova para meu notebook dell inspiron n4050 gostaria de saber qual o tempo da primeira carga obrigado,,,,,,,,,,,,,objetiva
42,0,adicionei um vídeo a uma playlist username url … dicas boeing notebook dell vostro number a60,,,,,,,,,,,,,objetiva
43,0,notebook dell inspiron number i7 number 0u number 6gb ram 1tb disco number 4gbnvidia w8 number azul aprecio oferta number dólares url …,,,,,,,,,,,,,objetiva
44,0,o novo number em number dell inspiron number série number combina a versatilidade de um tablet com a produtividade de um notebook url,,,,,,,,,,,,,objetiva
45,0,vendo notebook dell vostro memória 4gb ddr number hd number 0gb processador core i3 entrada hdmi number usb number url,,,,,,,,,,,,,objetiva
46,0,a dell é uma empresa de soluções tecnológicas e criou o notebook number em number que pode ser aquele presente perfeito o url,,,,,,,,,,,,,objetiva
47,1,esse notebook da dell tem uma tela linda mas dá problema toda hora em driver de vídeo e é o que eu mais uso,,,,,,,,,,,,,subjetiva
48,-1,quero comprar um notebook novo esse aqui não dá mais imploro comprar da dell foi a pior decisão que eu fiz sério,,,,,,,,,,,,,subjetiva
49,0,notebook dell i15 number b20 intel core i7 number terceira geração por ar number number number url … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
50,0,username eu doaria para ajudar a comprar um notebook pra você ar number da pra comprar um dell top com placa de video e 8gb de ram,,,,,,,,,,,,,objetiva
51,1,username compraria fácil um celular da dell depois do notebook que comprei amei,,,,,,,,,,,,,subjetiva
52,0,dell latitude e6410 number notebook carbone no ram ada or cpu ms528 …http emoticon impar és eive beautiful produtos buy2day informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
53,0,alguém me indica marcas boas de notebook alem de dell asus apple,,,,,,,,,,,,,objetiva
54,0,vendo notebook dell vostro semi novo,,,,,,,,,,,,,objetiva
55,0,planejando dar as famosas pedaladas fiscais para adquirir um notebook dell raríssimo,,,,,,,,,,,,,objetiva
56,0,notebook dell inspiron me és a para computador ar number number em até number 0x ou ar number number à vista url … ver foto,,,,,,,,,,,,,objetiva
57,0,notebook dell processador i5 8gb de memoria hd number gigabytes number reais,,,,,,,,,,,,,objetiva
58,0,oferta no username username intel core i3 • 4gb 1tb ” ar number number number no boleto url …,,,,,,,,,,,,,objetiva
59,0,notebook dell inspiron number i14 number b10 intel core ar number number em number 0x ou ar number number à vista url … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
60,0,notebook dell inspiron number i14 number b30 intel core ar number number em até number 0x de ar number number url … ver foto,,,,,,,,,,,,,objetiva
61,-1,é fácil atrás de um notebook da dell ou iphone julgar alguém que rala o dia todo para sustentar uma família e mostrar o futebol a filha,,,,,,,,,,,,,subjetiva
62,-1,alo username o notebook da username está com problema o modelo é esse aqui link permanente da imagem incorporada,,,,,,,,,,,,,subjetiva
63,0,o inspiron number number series é fino e conta com a number terceira geração de processadores intel ® core ™ para que seus jogos seus url,,,,,,,,,,,,,objetiva
64,0,nova atualização dell relança o notebook poderoso alienware number url hashtag aqui galera,,,,,,,,,,,,,objetiva
65,-2,pra ajudar meu notebook não está carregando dell já enviou um novo carregador por correio porém vai demorar url,,,,,,,,,,,,,subjetiva
66,-1,notebook de 3mil dar problema para conectar wifi ave maria maria dell,,,,,,,,,,,,,subjetiva
67,-1,acho que nessa semana o técnico da dell vem buscar o notebook e trazer o novo amém,,,,,,,,,,,,,subjetiva
68,0,dell latitude e6500 number notebook …http emoticon special online de alas impar és eive charter newoffers informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
69,0,olhar digital dell traz de volta notebook de alta performance alienware number url … via username digital,,,,,,,,,,,,,objetiva
70,0,análise notebook dell xps number vi de o,,,,,,,,,,,,,objetiva
71,0,semana dell na submarino veja ofertas de notebook imperdíveis url …,,,,,,,,,,,,,objetiva
72,0,bateria do meu notebook hashtag inspiron n4050 já era depois de number longos anos,,,,,,,,,,,,,objetiva
73,0,sós rédeas url hashtag dell latitude e6420 notebook laptop computer hd number intel core i5 … ver foto,,,,,,,,,,,,,objetiva
74,-1,meu notebook ficou zoado desde que a dell instalou o negócio de reconhecer rosto que ódio,,,,,,,,,,,,,subjetiva
75,1,username boa edição mas a minha escolha para o notebook seria a da dell,,,,,,,,,,,,,subjetiva
76,0,vendo notebook dell core i7 number 9ghz em ótimo estado de funcionamento e conservação ar number troco em televisão number polegada url,,,,,,,,,,,,,objetiva
77,0,alia a dell notebook servis url …,,,,,,,,,,,,,objetiva
78,0,intel core i3 ofertas incríveis de notebook dell intel core i3 de number produtos com ótimos … url hashtag,,,,,,,,,,,,,objetiva
79,0,username olá uso a versão number number number gcd94e7db diapositivo notebook dell windows number obrigada pela ajuda,,,,,,,,,,,,,objetiva
80,0,um dia quem sabe url,,,,,,,,,,,,,objetiva
81,-2,number pila pra concertar a tela do meu notebook username com esse dinheiro eu compro um novo não é querido ¬¬,,,,,,,,,,,,,subjetiva
82,-1,aguardando até agora a assistência number 4h da username hashtag você tem seus prazos para cumprir e seu notebook parado até quando,,,,,,,,,,,,,subjetiva
83,0,olha que coisa mais linda mais cheia de graça 3 thiago boanerges padre lopes url,,,,,,,,,,,,,objetiva
84,0,notebook dell i15 number b20 intel core i7 number terceira geração por ar number number number url … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
85,0,olhar digital dell traz de volta notebook de alta performance alienware number url … via username digital,,,,,,,,,,,,,objetiva
86,0,dell latitude e6320 number notebook computador – intel com url hashtag hashtag url link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
87,0,só pra terminar queria pedir pra dell me mandar outro notebook esse meu está velho,,,,,,,,,,,,,objetiva
88,0,muito bom,,,,,,,,,,,,,objetiva
89,0,o modelo possui ainda number gigabytes de memória ram coo dell traz de volta notebook alienware number url … username,,,,,,,,,,,,,objetiva
90,0,dell inspiron number windows number pentium dualcore number 0ghz 3gb notebook …http emoticon cube produtos abe nurse de del newoffers informação buy number quer number … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
91,0,retrete olhar digital username it del,,,,,,,,,,,,,objetiva
92,1,isso sim é um notebook mas poderia ser mais fino e leve url,,,,,,,,,,,,,subjetiva
93,0,eu preciso gustavo oliveira url,,,,,,,,,,,,,objetiva
94,0,sonhei com meu pai noite passada ele me perguntava as melhores marcas de notebook após ver o meu então respondi apple dell e sony lol,,,,,,,,,,,,,objetiva
95,0,dell traz de volta notebook de alta performance alienware number de acordo com a dell o novo alienware number ã© o não url,,,,,,,,,,,,,objetiva
96,0,olhar digital dell traz de volta notebook de alta performance alienware number url,,,,,,,,,,,,,objetiva
97,0,notebook dell i15 number b20 intel core i7 number terceira geração 8gb 1tb por ar number number number url … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
98,0,veja isso dell traz de volta notebook de alta performance alienware number de acordo com a dell o novo alienar url,,,,,,,,,,,,,objetiva
99,0,ah meu notebook dell tem apenas number mês de comprado,,,,,,,,,,,,,objetiva
100,-1,a pessoa compra um notebook e é obrigado a comprar um mouse porque o touchpad não vale bosta cce dell,,,,,,,,,,,,,subjetiva
101,-1,perguntar não ofende por quê a dell vende um notebook com sistema operacional ubuntu mais caro que o mesmo notebook com windows number,,,,,,,,,,,,,subjetiva
102,0,alia a dell notebook servis url …,,,,,,,,,,,,,objetiva
103,-1,nas opções do laptop mag indicaram o dell xps number aquele notebook é horroroso em questões de design,,,,,,,,,,,,,subjetiva
104,0,qual é a marca de notebook que não é mais virgem aquela que já dell,,,,,,,,,,,,,objetiva
105,0,extra – promoção incrível number off no notebook dell inspiron i14 number b10 intel core i3 4gb … url … link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
106,0,galera será que eu compro url … tem alguma marca de notebook não top barata que vocês recomendem pra eu pesquisar,,,,,,,,,,,,,objetiva
107,0,username meu sonho era esse preço nesse dell url … observação foto com o preço cedi,,,,,,,,,,,,,objetiva
108,0,cardadores malos para notebook acer asus dell hp la en ovo sony samsung toshiba para bell mac link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
109,0,dell number intel pentium dual core number ghz number gigabytes notebook url link permanente da imagem incorporada,,,,,,,,,,,,,objetiva
