, unanime d: number , texto , rótulo , rótulo _ texto
number , number , " as dobras têm um segredo , elas são imortais . elas " , number , objetiva
number , number , és sa pode ser a única chance de lazzo começar uma nova vida e recriar a família que ela tragicamente perdeu quando criança . , number , objetiva
number , number , " o livro fala de murray , o velho patriota escocês , que teve seus olhos arrancados e sua casa tirada durante a invasão inglesa . " , number , objetiva
number , number , verifique seu cérebro e seu decodificador de agente secreto toca na porta porque você não quer pensar muito sobre o que está acontecendo . o filme tem algum valor de entretenimento - quanto depende de quão bem você gosta de chris rock . , number , subjetiva
number , number , " natural en te , ele retorna ao seu analista doutor . ben nobel ( cristal ) para obter ajuda e descobre que nobel precisa de alguma ajuda séria , pois herdou a prática da família , bem como um estoque excessivo de estresse . " , number , objetiva
number , number , " ainda sofrendo de ressaca , julie não percebe que ellen está desaparecida quando o ônibus escolar sai do cemitério . " , number , objetiva
number , number , várias pessoas estão ouvindo a situação de keith no rádio e estão fazendo suas próprias mudanças . , number , objetiva
number , number , um thriller de ação lindamente trabalhado sobre amor e terrorismo na coréia . , number , subjetiva
number , number , apor és en está uma visão mais persuasiva do inferno na terra . , number , subjetiva
number , number , o senso de humor afiado e muitas vezes travesso do filme vai pegar alguns desprevenidos . . . , number , subjetiva
number , number , en terra um enredo interessante sobre moralidade e as escolhas que fazemos sob uma montanha de clichês e imagens emprestadas que poderia ser mais precisamente intitulado senhor . tira o velho bloco . , number , subjetiva
number , number , " como o primeiro filme de enorme sucesso , a sequência oferece entretenimento agradável , envolvente , embora amplamente descartável para o público em geral . " , number , subjetiva
number , number , uma doce e envolvente história familiar sobre a natureza da fé e o poder da inocência juvenil . , number , subjetiva
number , number , " fuga real , no entanto , pode ser um objetivo além da possibilidade . " , number , objetiva
number , number , os cineastas habilmente evocam a sensação de ameaça que a natureza traz para muitos moradores urbanos . , number , subjetiva
number , number , " infeliz en te , ele esquece de mencionar que é um jogador profissional com maus instintos e que a onça é emprestada . " , number , objetiva
number , number , " não és te clima racialmente carregado , o esquadrão de investigações especiais de elite do lapa ( irmã ) é atribuído a um homicídio quádruplo de alto perfil . " , number , objetiva
number , number , uma notável meditação de number minutos sobre a natureza da revolução . , number , subjetiva
number , number , " és te documentário segue uma parceria comercial entre um clã de pescadores palestinos de campos de refugiados em gaza e israelenses do assentamento de augita , faixa de gaza . " , number , objetiva
number , number , " o bloqueio deste pintor levou a um homem desesperado obcecado com a necessidade de pintar , deixando o artista em estado de desordem . " , number , objetiva
number , number , todas as estruturas sociais desmoronam e uma nova ordem mundial emerge do coração do deserto . , number , objetiva
number , number , " quando blake é iniciado , ele concorda em cumprir as três regras fundamentais : compartilhar seu espírito , corpo e alma com os outros ; dedicar sua vida a salvar crianças sem-teto ; e nunca sair a menos que o mestre o expulsa . " , number , objetiva
number , number , " . . . rotina , diversão inofensiva e pouco mais . " , number , subjetiva
number , number , eu suspeito que este é o tipo de produção que teria sido mais engraçado se o diretor tivesse lançado os capturas nos cinemas e usado o filme como um bônus no dvd . , number , subjetiva
number , number , de sertã rose é um thriller erótico que leva você através da experiência de vida de um homem . , number , objetiva
number , number , a it te interpreta um jovem graduado de harvard que também representa o personagem de grant . , number , objetiva
number , number , a equipe de blade e o bloodpack são a única linha de defesa que pode impedir que a população de ceifadores acabe com as populações de vampiros e humanos . , number , objetiva
number , number , el és pretendem trazê-la de volta a tel-aviv para salvar sua vida . , number , objetiva
number , number , " quando sua sobrinha morre espontaneamente de susto , uma semana depois do dia em que assistiu a um vídeo perturbador , uma jornalista cínica ( naomi watts ) viaja para o noroeste do pacífico em busca das origens da fita e suas ligações com uma série de suicídios em um rancho de cavalos . " , number , objetiva
number , number , " embora algumas dessas leis tenham sido derrubadas por legislaturas ou tribunais , no estado do texas os combatentes da liberdade ainda estão trabalhando para eliminar essas leis absurdas e desnecessárias . " , number , objetiva
number , number , " sem o conhecimento dos competidores , o anfitrião do jogo fez um acordo com os soldados contratados para guardar o dinheiro , e não tem realmente os melhores interesses do jogador , ou mesmo a segurança básica , no coração . " , number , objetiva
number , number , " o primeiro curta totalmente em roteiro a ser produzido pela imageworks , empresa premiada de efeitos visuais e animação de personagens da sony pictures , ` ` the chubbchubbs ` ` apresenta os habitantes alienígenas do planeta gloria , incluindo merecer , seu herói sério , mas desajeitado , a diva cantante , os azais e os chubbchubbs . " , number , objetiva
