,Unnamed: 0,texto,rótulo,rótulo_texto
0,0,"as dobras têm um segredo, elas são imortais. elas",0,objetiva
1,1,essa pode ser a única chance de Lizzy começar uma nova vida e recriar a família que ela tragicamente perdeu quando criança.,0,objetiva
2,2,"o livro fala de Murray, o velho patriota escocês, que teve seus olhos arrancados e sua casa tirada durante a invasão inglesa.",0,objetiva
3,3,verifique seu cérebro e seu decodificador de agente secreto toca na porta porque você não quer pensar muito sobre o que está acontecendo. o filme tem algum valor de entretenimento - quanto depende de quão bem você gosta de chris rock.,1,subjetiva
4,4,"naturalmente, ele retorna ao seu analista dr. ben sobel (cristal) para obter ajuda e descobre que sobel precisa de alguma ajuda séria, pois herdou a prática da família, bem como um estoque excessivo de estresse.",0,objetiva
5,5,"ainda sofrendo de ressaca, julie não percebe que Ellen está desaparecida quando o ônibus escolar sai do cemitério.",0,objetiva
6,6,várias pessoas estão ouvindo a situação de Keith no rádio e estão fazendo suas próprias mudanças.,0,objetiva
7,7,um thriller de ação lindamente trabalhado sobre amor e terrorismo na Coréia.,1,subjetiva
8,8,apresenta uma visão mais persuasiva do inferno na terra.,1,subjetiva
9,9,o senso de humor afiado e muitas vezes travesso do filme vai pegar alguns desprevenidos. . .,1,subjetiva
10,10,enterra um enredo interessante sobre moralidade e as escolhas que fazemos sob uma montanha de clichês e imagens emprestadas que poderia ser mais precisamente intitulado sr. tira o velho bloco .,1,subjetiva
11,11,"como o primeiro filme de enorme sucesso, a sequência oferece entretenimento agradável, envolvente, embora amplamente descartável para o público em geral.",1,subjetiva
12,12,uma doce e envolvente história familiar sobre a natureza da fé e o poder da inocência juvenil.,1,subjetiva
13,13,"fuga real, no entanto, pode ser um objetivo além da possibilidade.",0,objetiva
14,14,os cineastas habilmente evocam a sensação de ameaça que a natureza traz para muitos moradores urbanos .,1,subjetiva
15,15,"infelizmente , ele esquece de mencionar que é um jogador profissional com maus instintos e que a onça é emprestada .",0,objetiva
16,16,"neste clima racialmente carregado, o esquadrão de investigações especiais de elite do lapd (irmã) é atribuído a um homicídio quádruplo de alto perfil.",0,objetiva
17,17,uma notável meditação de 179 minutos sobre a natureza da revolução.,1,subjetiva
18,18,"este documentário segue uma parceria comercial entre um clã de pescadores palestinos de campos de refugiados em gaza e israelenses do assentamento de dugit, faixa de gaza.",0,objetiva
19,19,"o bloqueio deste pintor levou a um homem desesperado obcecado com a necessidade de pintar, deixando o artista em estado de desordem.",0,objetiva
20,20,todas as estruturas sociais desmoronam e uma nova ordem mundial emerge do coração do deserto.,0,objetiva
21,21,"quando blake é iniciado, ele concorda em cumprir as três regras fundamentais: compartilhar seu espírito, corpo e alma com os outros; dedicar sua vida a salvar crianças sem-teto; e nunca sair a menos que o mestre o expulse.",0,objetiva
22,22,". . . rotina, diversão inofensiva e pouco mais .",1,subjetiva
23,23,eu suspeito que este é o tipo de produção que teria sido mais engraçado se o diretor tivesse lançado os outtakes nos cinemas e usado o filme como um bônus no dvd .,1,subjetiva
24,24,desert rose é um thriller erótico que leva você através da experiência de vida de um homem.,0,objetiva
25,25,witt interpreta um jovem graduado de Harvard que também representa o personagem de Grant .,0,objetiva
26,26,A equipe de blade e o bloodpack são a única linha de defesa que pode impedir que a população de ceifadores acabe com as populações de vampiros e humanos.,0,objetiva
27,27,eles pretendem trazê-la de volta a Tel-Aviv para salvar sua vida.,0,objetiva
28,28,"quando sua sobrinha morre espontaneamente de susto, uma semana depois do dia em que assistiu a um vídeo perturbador, uma jornalista cínica (naomi watts) viaja para o noroeste do Pacífico em busca das origens da fita e suas ligações com uma série de suicídios em um rancho de cavalos .",0,objetiva
29,29,"embora algumas dessas leis tenham sido derrubadas por legislaturas ou tribunais, no estado do texas os combatentes da liberdade ainda estão trabalhando para eliminar essas leis absurdas e desnecessárias.",0,objetiva
30,30,"sem o conhecimento dos competidores, o anfitrião do jogo fez um acordo com os soldados contratados para guardar o dinheiro, e não tem realmente os melhores interesses do jogador, ou mesmo a segurança básica, no coração.",0,objetiva
31,31,"o primeiro curta totalmente em CGI a ser produzido pela imageworks, empresa premiada de efeitos visuais e animação de personagens da Sony Pictures, `` the chubbchubbs `` apresenta os habitantes alienígenas do planeta glorf, incluindo meeper, seu herói sério, mas desajeitado, a diva cantante , os zyzaks e os chubbchubbs .",0,objetiva
32,32,"mas quando seus sentimentos por Ricki decididamente indisponível começam a crescer, e ele realmente se preocupa com Brian, o durão gigli começa a se transformar em um ser humano real... que",0,objetiva
33,33,"tong é enviado de volta para buscar algumas coisas para devlin e, sem saber, experimenta o smoking de devlin e descobre que ele dá poderes extraordinários a qualquer um que veste o terno .",0,objetiva
34,34,"fresco e cru como uma veia estourada, narc pega um subgênero morto-vivo e policial e dá uma nova vida a ele.",1,subjetiva
35,35,seus objetivos são modestos - fazer as crianças rirem enquanto cuba gooding cai muito e mostrar como os cães de trenó são emocionantes - e os alcança.,1,subjetiva
36,36,"na superfície, o filme é jogado direto, com tensão sustentada e sustos efetivos.",1,subjetiva
37,37,. . . vai além dos retratos usuais de bons filhos e sementes ruins para revelar um conjunto mais ambivalente de personagens e motivações.,1,subjetiva
38,38,"se o conde de monte cristo não transformar caviezel em estrela de cinema, então o jogo está ainda mais fraudado do que há dois séculos.",1,subjetiva
39,39,uma história de amor ideal para aqueles intolerantes ao gênero sacarina mais comum.,1,subjetiva
40,40,"fora o desejo do burger de fazer algum tipo de filme, não está muito claro por que este projeto foi realizado",1,subjetiva
41,41,"ao mesmo tempo, outras mudanças no sumô estão sendo motivadas por sua crescente popularidade no ocidente, onde seus adeptos estão fazendo lobby pela inclusão do sumô nos jogos olímpicos, enquanto outros promotores estão organizando torneios amadores de sumô em locais como Las Vegas. cassinos - torneios que não surpreendentemente têm pouca semelhança com o ancestral japonês do esporte .",0,objetiva
42,42,"Meredith,de 14 anos,tenta manter um voto religioso de silêncio durante um jantar de ação de graças com sua família agnóstica", 0, objetiva
43,43,"docu-drama baseado na vida de Ted Bundy, um serial killer que matou pelo menos 19 mulheres jovens durante a década de 1970 (embora algumas fontes digam que 30 a 35 foram assassinados).",0,objetiva
44,44,"gostaria que os windtalkers tivessem mais fé no potencial dramático desta história verídica. isso teria sido melhor do que a ficção que inventou, e ainda poderia haver espaço para as cenas de guerra.",1,subjetiva
45,45,"em um mundo onde lealdades são facilmente abandonadas e lealdades compradas, seis perfeitos estranhos se unem para realizar o crime perfeito.",0,objetiva
46,46,"acelerado e maravilhosamente editado, o filme é extremamente completo.",1,subjetiva
47,47,"embora o ritmo cuidadoso e a história aparentemente opaca possam não satisfazer o apetite de todos os espectadores, a cena final do filme é surpreendentemente emocionante.",1,subjetiva
48,48,"documentário unilateral oferece explicações simplistas para uma situação muito complexa... estilisticamente, o filme é um desastre.",1,subjetiva
49,49,food for love se esforça e em grande parte consegue dar peso igual à turbulência emocional de seus personagens mais velhos e mais jovens.,1,subjetiva
50,50,"não deveria ter sido permitido usar a palavra ``novo`` em seu título, porque não há um personagem original, situação ou piada em todo o filme.",1,subjetiva
51,51,"ambos se aproximam de tun, um jovem solitário com uma doença não especificada.",0,objetiva
52,52,"reitor de 18 anos é bonito e inteligente, mas se sente prejudicado por sua origem da classe trabalhadora e por sua família.",0,objetiva
53,53,"o filme detalha as experiências do autor 'peter pan' j . m . barrie , que o levaram a escrever o clássico infantil .",0,objetiva
54,54,"o filme às vezes ameaça se tornar didático, mas é muito fundamentado na realidade de seus personagens para ir além do limite. um toque de humor ou uma reviravolta inesperada na trama sempre o puxa para trás.",1,subjetiva
55,55,"como resultado desta circunstância infeliz, ella não pode recusar qualquer comando, e muitas vezes é deixada à mercê de personalidades sem escrúpulos.",0,objetiva
