Arquivo;FRASE;Polaridade;OBJ/SUBJ
0_10002.txt;é um belo produto, tem que ser mas bem programado pois a programação deixa a desejar tem poucas funções mas da pro gasto não é completo mas da pra uzar.;1;subjetiva
0_102555.txt;muito bom;1;subjetiva
0_118743.txt;produto na minha opiniao poderia sem melhor com mais qualidade de acabamento.;-1;subjetiva
0_119563.txt;Esse notebook possui varios recursos para o entretenimento, bom para jogos e assistir videos e filmes, possui saída de video HDMI, pela qual pode se conectar o notebook a uma TV LCD ou LED com entradas HDMI. Ótimo para se navegar na internet e tambem para qualquer tipo de trabalho;1;subjetiva
0_119601.txt;é basicamente isso, alem de outros modelos tem melhor recepção pra conexão sem fio.no mais é otimo;1;subjetiva
0_133953.txt;É maravilhoso tudo estou a desposição para falar sobre os produtos.;1;subjetiva
0_134006.txt;acho deve ser bom ! como posso opnar por algo que não experimentei ?;1;subjetiva
0_140243.txt;Produto bem acima do básico, com boa memória e conectividade. Valeu pelo custo-benefício.;1;subjetiva
0_140370.txt;ele tem bom preço facil de usar,moderno;1;subjetiva
0_144606.txt;Um ótimo celular, confiável e sem firulas.;1;subjetiva
0_144620.txt;Pelo custo para um primeiro Smartphone poderia ser um pouquinho melhor;-1;subjetiva
0_151870.txt;Não compraria de novo. Apesar de bonito, tive problemas com ele. Estou tentando falar no site da Sony Ericsson e não tem um sistema de Fale Conosco pois estou com receio de que tenha outros problemas. Ter que reiniciar o telefone e ficar com a sensação de que a bateria vai acabar a qualquer momento é muito chato. Indico Nokia, nunca tive problemas com esta marca.;-1;subjetiva
0_151978.txt;Se você está pensando em comprar este smartphone pelo preço visando atualização para Android 2.x, esqueça. Não vai haver atualização oficial e as atualizações alternativas podem até funcionar, mas apresentam riscos e perda de garantia.;-1;subjetiva
0_15738.txt;A LG está muito bem no mercado, essa tv é de excelente qualidade, tem várias funções de fácil manuseio. O som também é muito bom, os vendedores das lojas disseram que essa era a melhor da categoria se tratando de imagem, isso posso confirmar a voces. Mas como nem tudo é como a gente quer, aqui vai uma avaliação negativa, que considero ser muito importante para uma televisão, o controle remoto deixou muito a desejar, achei que fosse um problema apenas do meu controle, pois vc precisa apertar com força os botões, acabei de ler um relato de um modelo anterior com o mesmo problema(modelo LG Flatron RP-29FA35A 29 ). A LG errou em não ter corrigido esse problema.;1;subjetiva
0_16074.txt;Comprei o produto por que possuo Gravador de DVD da LG, porém a TV não supriu minhas necessidades, uma vez que apresenta no mínimo, qualidade de imagem regular a ruim. Por fora Bela Viola, por dentro, Pão Bolorento...meio que serve para esta TV, uma pena, pois esteticamente é muito bonita.;-1;subjetiva
0_174384.txt;Ótima, mas poderia ser a bateria.;1;subjetiva
0_174953.txt;gastei meus pontos a toa podia ter esperadop mais;-1;subjetiva
0_18023.txt;Um imagem vale mais que mil palavras. Quem tem dúvida sobre a qualidade das fotos desta câmera acesse o link: http://www.flickr.com/cameras/pentax/optio_e10/Obs: É preciso ler atentamente o manual de instruções. Qualquer regulagem indevida ao ambiente ocasionará fotos com deficiência. O modo Macro também, é de ótima qualidade proporcionando fotos incríveis de flores, insetos e pequenos objetos!;1;subjetiva
0_18303.txt;O que me atraiu a primeira vista foi o design, mas ele não se limita à beleza, mostrou-se um celular eficiente, prático, além de econômico. A bateria dura muito, suas funções são didáticas e seu preço é bastante acessível. Gostei tanto que comprei um para o meu marido também!;1;subjetiva
0_187275.txt;Tenho uma TV AOC 26, que pifou em menos de 3 meses de uso (não liga). A assistencia tecnica não tinha peças para conserto e nem ela, nem o SAC da AOC podem informar qual o prazo de entrega de peças. Resultado é que ficou mais de 15 dias e em menos de 1 semana apresentou o mesmo defeito e já está com mais de 20 dias e assistencia tecnica não tem a mínima ideia de quando terá a peça apenas falou que é melhor não ligar e esperar que eles retornam???? Não dá para confiar numa empresa assim!!!!!!!;-1;subjetiva
0_187353.txt;Só compre esta TV se você for utilizar HDMI 100% do tempo e utilizar um Home Theater como saida alternativa de som. Mais uma vez irei lembrá-lo: o som é de péssima qualidade, sem vida, grave ZERO.;-1;subjetiva
0_18938.txt;Adorei o produto, já estou a um ano com ele e não me arrependo em nenhum momento.;1;subjetiva
0_2075.txt;Uma camera com bom custobeneficio, porem desconhecida, o que pode fazer com que ao nessecitar de asistencia tecnica ter dificudades de encontrr peças. Porem isso é caso raro e seu preço é muito em conta.;1;subjetiva
0_22488.txt;Até agora mostrou-se um note excelente, eu já tive um dell latitude e não me arrependo de ter trocado ele por esse da cce, alem de ser bem rápido a bateria dele durou mais do que o dell antigo que eu tinha. Recomendo a compra pois alem de ser mais barato ele entrega o que promete: desempenho por um preço justo, não se prendam as marcas pois todas elas usam os mesmos componentes.;1;subjetiva
0_230487.txt;Desempenho Custo-Benefício Compatibilidade Conectividade Design Bom bom para empresas Lindooooo.… otima frequencia , bom desepenho;1;subjetiva
0_232711.txt;Antes de adquirir um, eu procurei na net tudo sobre ele, seu funcionamento, sua capacidade, desempenho, quantidade de aplicativos disponíveis e comprei tranquilo. Hoje em dia nem uso mais meu computador pessoal, somente meu IPad. Chego do trabalho, sento na minha sala e navego na net, jogo e leio meus emails na comodidade do sofá. Além de substituir todos meus cadernos na faculdade e até alguns livros também. Não tem todas as funções de um computador de mesa, mas supre muito bem as principais necessidades, além de ser prático e pela mobilidade que te proporciona.;0;objetiva
0_237006.txt;o celular moderno e fino,sendo, leve e confortável para se usar;1;subjetiva
0_252575.txt;Mais barato que o IPAD e tão bom quanto;1;subjetiva
0_252594.txt;é de ótimo uso, prático, bateria durável, leve;1;subjetiva
0_257577.txt;È muito bom eu recomendo.;1;subjetiva
0_257592.txt;sinto muito mais eu não compraria outra vezaessa lcd pela imagem;-1;subjetiva
0_25831.txt;Excelente desmepenho. Custo / benefício. Adquiri e não tive problema algum.;1;subjetiva
0_259325.txt;Gostei do design dele, mas a duração da bateria é muito pouca.;-1;subjetiva
0_259386.txt;Eu até gostei do Tablet, mas a bateria dura muito pouco;-1;subjetiva
0_27904.txt;zoom ótico 3x o que considero muito bom para uma camera neste valor, a imagem é otima e o visor tb é grande;1;subjetiva
0_281044.txt;Gente nao comprar vcs vao ter muita dor de cabeça…;-1;subjetiva
0_282742.txt;A MULTILASER DEVERÁ TOMAR UMA PROVIDÊNCIA IMEDIATA, TIPO RECALL NESSES APARELHOS TABLET PC LIFE. AO QUE TUDO INDICA E PELA QUANTIDADE DE RECLAMAÇÕES O DEFEITO É DE FABRICAÇÃO.  NÃO SE CONSEGUE USAR O APARELHO NORMALMENTE. NÃO DURA MAIS DO QUE ALGUNS MINUTOS E LOGO TRAVA, SEM RECURSOS PARA O DESTRAVAMENTE, SÓ DEPOIS QUE A BATERIA DESCARREGAR.;-1;subjetiva
0_288857.txt;O produto apresenta problema intermitente com o touchpad.;0;objetiva
0_29119.txt;Qualidade do som deprimente. Dificil ter conversas com esse telefone. Péssimo para escutar e para falar. Menu não-amigável. Despertador complicado. Péssimo para salvar numeros, chamadas e enviar mensagens. Quem já teve um nokia, jamais vai querer um celular desse.;-1;subjetiva
0_29183.txt;um produto de preço acessecivel e com muitos recursos.;0;objetiva
