,origem,FRASE,OBJ/SUBJ
0,"['Ele procura Virginia (Jeanne Moreau), a filha do ex-parceiro de negócios de Clay, a quem Clay levou à falência e ao suicídio.', '1', 'objetivo']","Ele procura Virginia (Jeanne Moreau), a filha do ex-parceiro de negócios de Clay, a quem Clay levou à falência e ao suicídio.",objetiva
1,"['Isso significa ter um emprego estável, uma namorada decente, respeito pela madrasta e nada de festas selvagens. Condições matadoras para maiores de 18 anos.', '1', 'objetivo']","Isso significa ter um emprego estável, uma namorada decente, respeito pela madrasta e nada de festas selvagens. Condições matadoras para maiores de 18 anos.",objetiva
2,"['A câmera tátil desliza sobre a pele e outras estruturas superficiais;', '1', 'objetivo']",A câmera tátil desliza sobre a pele e outras estruturas superficiais;,objetiva
3,"['O tapete no porta-malas do carro está completamente encharcado de água e o corpo foi encontrado bem longe do carro.', '1', 'objetivo']",O tapete no porta-malas do carro está completamente encharcado de água e o corpo foi encontrado bem longe do carro.,objetiva
4,"['Mas então ele sente falta dele e se arrepende de suas ações.', '1', 'objetivo']",Mas então ele sente falta dele e se arrepende de suas ações.,objetiva
5,"['A primeira apresentação aconteceu aqui em outubro de 1992.', '1', 'objetivo']",A primeira apresentação aconteceu aqui em outubro de 1992.,objetiva
6,"['Como são tratados os caluniadores 6. O Grande Mestre e a Imagem 7. A Donzela do Mestre', '1', 'objetivo']",Como são tratados os caluniadores 6. O Grande Mestre e a Imagem 7. A Donzela do Mestre,objetiva
7,"['O tenente O ́Bannion (John Payne) e o tenente Tripp (Lowell Gillmore) da Marinha dos EUA em 1805 receberam uma ordem do Almirantado dos EUA para iniciar uma ação contra piratas que ameaçam navios que negociam com a Europa e a Ásia, incluindo navios americanos.', '1', 'objetivo']","O tenente O ́Bannion (John Payne) e o tenente Tripp (Lowell Gillmore) da Marinha dos EUA em 1805 receberam uma ordem do Almirantado dos EUA para iniciar uma ação contra piratas que ameaçam navios que negociam com a Europa e a Ásia, incluindo navios americanos.",objetiva
8,"['Ao contrário de Cathy de Loach, Come Home e War Games de Watkins, que combinavam material documental com cenas de ação, esta foi a primeira vez que Woodhead fez um documentário de televisão totalmente live-action baseado em eventos reais.', '1', 'objetivo']","Ao contrário de Cathy de Loach, Come Home e War Games de Watkins, que combinavam material documental com cenas de ação, esta foi a primeira vez que Woodhead fez um documentário de televisão totalmente live-action baseado em eventos reais.",objetiva
9,"['Uma reconstrução dramática que retrata em estilo minimalista um dia chave na vida de um casal que emigrou do Líbano.', '1', 'objetivo']",Uma reconstrução dramática que retrata em estilo minimalista um dia chave na vida de um casal que emigrou do Líbano.,objetiva
10,"['Nesta ocasião, a Televisão Tcheca preparou uma transmissão ao vivo do serviço da Igreja Paroquial da Igreja Evangélica dos Irmãos Tchecos em Brno II.', '1', 'objetivo']","Nesta ocasião, a Televisão Tcheca preparou uma transmissão ao vivo do serviço da Igreja Paroquial da Igreja Evangélica dos Irmãos Tchecos em Brno II.",objetiva
11,"['O que foi dito quando e como?', '1', 'objetivo']",O que foi dito quando e como?,objetiva
12,"['Em todos os casos, foi literalmente uma corrida não apenas contra o tempo, mas também contra bandidos malvados, traficantes de drogas e traficantes de armas que pensavam que a lei não se aplicava a eles.', '1', 'objetivo']","Em todos os casos, foi literalmente uma corrida não apenas contra o tempo, mas também contra bandidos malvados, traficantes de drogas e traficantes de armas que pensavam que a lei não se aplicava a eles.",objetiva
13,"['A partir desse momento, Nick se torna um jogo.', '1', 'objetivo']","A partir desse momento, Nick se torna um jogo.",objetiva
14,"['Leah Costina vai visitar o pai com a filha Sammi.', '1', 'objetivo']",Leah Costina vai visitar o pai com a filha Sammi.,objetiva
15,"['Hammerheads são um dos tubarões mais impressionantes, só de olhar para eles.', '1', 'objetivo']","Hammerheads são um dos tubarões mais impressionantes, só de olhar para eles.",objetiva
