,FRASE,OBJ/SUBJ
2527,o paraíso da tortilha de asido é o melhor restaurante do novo méxico talvez até do mundo . ,objetiva
2528," retrato de jovens imigrantes em dois países europeus , frança e noruega , onde a violência e a atividade ilegal se tornaram parte da vida cotidiana , e onde a busca por identidade pode rapidamente tomar um rumo perigoso .  ",objetiva
2532,price tem que fingir que também é gay para ficar escondido . ,objetiva
2533," dois pares , cada um casado há muito tempo , estão morando em uma pequena cidade da alemanha oriental .  ",objetiva
2535,explora a questão de saber se é tarde demais para dizer ' eu te amo ' . ,objetiva
2536," através de conversas íntimas com os melhores artistas japoneses , estudiosos e devotos de todas as culturas e estilos de vida , revelamos o apelo multifacetado do mundo anime .  ",objetiva
2538," ela vai conseguir , ou a morte vai conseguir primeiro ?  ",objetiva
2539," en tara nickname , o melhor amigo de charlie , que faz o seu melhor para ajudar da única maneira que sabe : distraindo charlie com festas e garotas .  ",objetiva
2547," filha de danando conta a história dramática de uma dessas crianças , heidi bob ( a . karalho . a . mai te chie ) , e sua mãe vietnamita , mai te kim , separadas no final da guerra e reunidas há number anos depois .  ",objetiva
2548," o triângulo romântico leva a uma conclusão surpreendente , pois o motivo secreto do jovem tem consequências explosivas .  ",objetiva
2550,ela tem um vínculo emocional com o dono de um cassino ( de epa fiori ) . ,objetiva
2553," os últimos , negando o inevitável , esperaram demais na segurança de suas próprias casas .  ",objetiva
2555," com a ajuda de uma jovem sexy e indescritível chamada bad girl ( king ) , eles se unem para lutar contra o mestre de kung fu que não vai parar até conseguir o pergaminho .  ",objetiva
2557," alex substituiu a ex-colega de quarto nicole ; a ex-melhor amiga , ex-namorada que , em verdadeiro clichê , forma a fodida carrie , andy e um diretor de primeira linha .  ",objetiva
2558," ambientado no mundo colorido das corridas de cavalos , replay segue a vida caótica de um aspirante a treinador de cavalos enquanto ele lida com a relva , as mulheres e todos os outros para pegá-lo .  ",objetiva
2560," ela arrasta junto sua melhor amiga marie ( já en york ) , e o namorado de marie , sean ( john ) e o irmão caçula scott ( jonathan ) .  ",objetiva
2562," baseado em um aclamado romance de number sobre a guerra de libertação ( number ) que garantiu a independência da estônia , o filme conta a história de um grupo de jovens estudantes indo para a frente para combater o exército da rússia soviética .  ",objetiva
2563," ele - robusto , bonito , do tipo independente ao ar livre - está pegando uma carona de volta para la e sabe uma boa aposta quando vê uma .  ",objetiva
2564," en calhado no havaí , o experimento hashtag não pode causar muito dano : água ao redor , nenhuma cidade grande e dois representantes bem equipados da federação galáctica já seguindo logo atrás para pegá-lo novamente .  ",objetiva
2566," de me it ido em desgraça , o apresentador de programa infantil bandolim símile se encontra na rua , enquanto seu substituto , sheldon míopes , encontra-se no caminho mais rápido para o sucesso com um novo programa de sucesso como o orgulhoso rinoceronte roxo mocha .  ",objetiva
2567," sua esposa , katharine ross , tenta mediar .  ",objetiva
2568,uma chance única na vida de experimentar o estilo de vida de pensamento livre dos anos number . ,objetiva
2569," em alguns casos o amor significa amor real , em outros casos significa sexo , e em um caso significa perder a virgindade .  ",objetiva
2572," em uma viagem pelo texas ao méxico , um grupo de adolescentes pega o sobrevivente de um massacre ocorrido na noite anterior .  ",objetiva
2574," uma rebelde desajustada , ela é enviada para um acampamento de verão por seus pais frustrados .  ",objetiva
2577," ao retornar a moscou , ele encontra um novo mundo governado por chefes do submundo , clãs criminosos lutando entre si e um caos total nas ruas desesperadamente mantendo aparências da capital russa .  ",objetiva
2578,de anis colega tem trinta e poucos anos e vive em uma casa de recuperação para doentes mentais em londres . ,objetiva
2579," mas quando o substituto institui algumas estranhas redefinições de safado e simpático , colocando o natal em risco , cabe a scott voltar com um novo saco de magia para tentar salvar o natal .  ",objetiva
2580,a igreja católica e os tribunais irlandeses decidem que as crianças boyle são colocadas em orfanatos administrados pela igreja . ,objetiva
2581,o conto de encanar é uma história de fantasia original inspirada no autor já . ar . ar . tolkien . ,objetiva
2582," e a conclusão da história é como os quatro tentam realizar seu plano mestre , este bem pensado assalto a banco .  ",objetiva
2585," bom en rubin , um jovem internista israelense que disputa o cargo de cirurgião , fica sabendo que seu estágio foi encerrado e ele foi escolhido para acompanhar abraham assinalada , o administrador do hospital e sua esposa , dori , em uma viagem à índia .  ",objetiva
2587," ao longo de sua jornada , eles sobrevivem a tiroteios , combates corpo a corpo viciosos , perseguições de carro embaçadas e um acidente de trem de parar o coração centenas de metros acima de um desfiladeiro rochoso .  ",objetiva
2593," para és o em um triângulo amoroso e jogo implacável de luxúria , ganância e traição , seguimos a jornada hipnótica de uma mulher para descobrir seu verdadeiro eu . . .  ",objetiva
