Arquivo;Polaridade;OBJ/SUBJ;43;objetiva;FRASE
0_10002.txt;1;subjetiva;190;subjetiva;é um belo produto tem que ser mas bem programado pois a programação deixa a desejar tem poucas funções mas da pro gasto não é completo mas da pra usar
0_102555.txt;1;subjetiva;;;muito bom
0_118743.txt;-1;subjetiva;;;produto na minha opinião poderia sem melhor com mais qualidade de acabamento
0_119563.txt;1;subjetiva;;;esse notebook possui vários recursos para o entretenimento bom para jogos e assistir vídeos e filmes possui saída de video hdmi pela qual pode se conectar o notebook a uma televisão lcd ou led com entradas hdmi ótimo para se navegar na internet e também para qualquer tipo de trabalho
0_119601.txt;1;subjetiva;;;é basicamente isso alem de outros modelos tem melhor recepção pra conexão sem url mais é ótimo
0_133953.txt;1;subjetiva;;;é maravilhoso tudo estou a disposição para falar sobre os produtos
0_134006.txt;1;subjetiva;;;acho deve ser bom como posso opinar por algo que não experimentei
0_140243.txt;1;subjetiva;;;produto bem acima do básico com boa memória e conectividade valeu pelo custobenefício
0_140370.txt;1;subjetiva;;;ele tem bom preço fácil de usar amor de orno
0_144606.txt;1;subjetiva;;;um ótimo celular confiável e sem imitações
0_144620.txt;-1;subjetiva;;;pelo custo para um primeiro smartphone poderia ser um pouquinho melhor
0_151870.txt;-1;subjetiva;;;não compraria de novo apesar de bonito tive problemas com ele estou tentando falar no site da sony ericsson e não tem um sistema de fale conosco pois estou com receio de que tenha outros problemas ter que reiniciar o telefone e ficar com a sensação de que a bateria vai acabar a qualquer momento é muito chato indico nokia nunca tive problemas com esta marca
0_151978.txt;-1;subjetiva;;;se você está pensando em comprar este smartphone pelo preço visando atualização para android number ex esqueça não vai haver atualização oficial e as atualizações alternativas podem até funcionar mas apresentam riscos e perda de garantia
0_15738.txt;1;subjetiva;;;a lg está muito bem no mercado essa televisão é de excelente qualidade tem várias funções de fácil manuseio o som também é muito bom os vendedores das lojas disseram que essa era a melhor da categoria se tratando de imagem isso posso confirmar a vocês mas como nem tudo é como a gente quer aqui vai uma avaliação negativa que considero ser muito importante para uma televisão o controle remoto deixou muito a desejar achei que fosse um problema apenas do meu controle pois você precisa apertar com força os botões acabei de ler um relato de um modelo anterior com o mesmo problema amor de lo lg flatron rap number 9fa35a number a lg errou em não ter corrigido esse problema
0_16074.txt;-1;subjetiva;;;comprei o produto por que possuo gravador de dvd da lg porém a televisão não supriu minhas necessidades uma vez que apresenta no mínimo qualidade de imagem regular a ruim por fora bela viola por dentro pão bolorento meio que serve para esta televisão uma pena pois esteticamente é muito bonita
0_174384.txt;1;subjetiva;;;ótima mas poderia ser a bateria
0_174953.txt;-1;subjetiva;;;gastei meus pontos a toa podia ter esperado mais
0_18023.txt;1;subjetiva;;;um imagem vale mais que mil palavras quem tem dúvida sobre a qualidade das fotos desta câmera visite o link url é preciso ler atentamente o manual de instruções qualquer regulagem indevida ao ambiente ocasionará fotos com deficiência o modo macro também é de ótima qualidade proporcionando fotos incríveis de flores insetos e pequenos objetos
0_18303.txt;1;subjetiva;;;o que me atraiu a primeira vista foi o design mas ele não se limita à beleza mostrouse um celular eficiente prático além de econômico a bateria dura muito suas funções são didáticas e seu preço é bastante acessível gostei tanto que comprei um para o meu marido também
0_187275.txt;-1;subjetiva;;;tenho uma televisão aoc number que pifou em menos de number meses de uso não liga a assistência técnica não tinha peças para conserto e nem ela nem o sac da aoc podem informar qual o prazo de entrega de peças resultado é que ficou mais de number dias e em menos de number semana apresentou o mesmo defeito e já está com mais de number dias e assistência técnica não tem a mínima ideia de quando terá a peça apenas falou que é melhor não ligar e esperar que eles retornam não dá para confiar numa empresa assim
0_187353.txt;-1;subjetiva;;;só compre esta televisão se você for utilizar hdmi number do tempo e utilizar um home theater como saída alternativa de som mais uma vez irei lembrálo o som é de péssima qualidade sem vida grave zero
