,FRASE,OBJ/SUBJ
1171," uma gangue de ladrões aparece em paris , roubando bancos e joalherias com uma velocidade incrível .  ",objetiva
1172," não só graças a essas cenas bizarras , a magnum opus da escritora austríaca elfriede jelinek nas mãos da dupla de diretores kelly camo e paola li afã se transforma em um peculiar filme de terror mudo de 8mm , que consegue combinar habilmente o misterioso com o grotesco .  ",objetiva
1173,bally é uma garota de dez anos completamente normal . ,objetiva
1174,e uma paixão ardente pode ajudá-lo muito em sua busca . ,objetiva
1175," um evento de prestígio em number foi um convite para um show de joe cocker , que nunca tem convidados ou fronte em seus shows .  ",objetiva
1176,a primeira aventura animada de scooby-doo está chegando aos nossos cinemas e promete ser um grande espetáculo ! ,objetiva
1177, seus pesadelos absurdos cheios de crueldade e humor negro revelam um interesse no clássico ' film noir ' e na escola bruta e criam uma imagem cética e elegantemente esculpida da existência humana .  ,objetiva
1178," as duas meninas tornam-se amigas e alimentam uma à outra o ódio aos ricos patrões de sophie , sua educação , uma certa superioridade e sofisticação .  ",objetiva
1179," o comissário da juventus , juntamente com o jornalista andor , continuam a processar xantomas .  ",objetiva
1180," chang chen-wai , um especialista em artes marciais , administra um negócio de importação .  ",objetiva
1181," através de seus próprios esforços e perseverança , ela gradualmente enriqueceu e agora volta a visitar como milionária .  ",objetiva
1182," no entanto , nossa moderna safo não percebe quão tragicamente a história da antiga safo terminou ?  ",objetiva
1183,o ídolo da atuação de seu tempo poderia usar plenamente seu potencial cômico e dramático aqui . ,objetiva
1184," o ponto de partida do filme é o fato de que durante uma conversa comum com chouto é possível aprender toda uma série de histórias e anedotas , que , como descobrimos mais tarde , todas existem em forma escrita e já foram codificadas pelo autor .  ",objetiva
1185," graças à sua inteligência , ele consegue evitar as armadilhas da polícia e , graças aos subornos , até os políticos o protegem .  ",objetiva
1186," imediatam en te depois , ocorre a maquinaria do marketing político profissional , que visa ' produzir ' um novo presidente .  ",objetiva
1187," mas à medida que a noite se aprofunda , eles descobrem os horrores que existem dentro de sua antiga mansão vitoriana .  ",objetiva
1188,diviso és imperiais e revolucionárias colidem em uma batalha feroz . ,objetiva
1189," com boa saúde , eles chegam à ilha onde reside o clã de takeda , mas é apenas uma questão de tempo até que finjo e seus assassinos apareçam lá também .  ",objetiva
1190,ela decide que nunca mais quer ter colegas de quarto . ,objetiva
1191," o filme para televisão em duas partes foi criado de acordo com o tema e roteiro do experiente casal de autores lucide e josef cona a , o diretor é bisar a . archote .  ",objetiva
1192,então taylor sugere que todos que estão incomodados com verdade e mentiras devem se unir e lutar contra ele juntos . ,objetiva
