,FINAL,FRASE,Unnamed: 2,OBJ/SUBJ
0,-1,notehbook da dell é um LIXO !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,subjetiva
1,0,"#OFERTHEC Notebook Dell Inspiron i14-3442-B10 R$ 1.799,90* à vista ou em 4x sem juros no… https://instagram.com/p/7xZmfGHKF8/",,objetiva
2,-2,To aqui olhando notebook da Dell e vi um de $10.000 por um momento achei que tava no site da Apple.,,subjetiva
3,0,Semana do Cliente FNAC continua com ofertas de Notebook Dell e Samsung http://quenotebookcomprar.com.br/semana-do-cliente-fnac-continua-com-ofertas-de-notebook-dell-e-samsung/ …,,objetiva
4,0,Problemas c/ o teclado do seu notebook Dell? Adquira um novo BB Baterias! Confira os preços: http://goo.gl/RymKrU,,objetiva
5,0,então vamos começar mudando para um Notebook Dell Vostro http://goo.gl/ZPW5sZ,,objetiva
6,-1,@telmakalistos O problema é que o meu notebook que estragou era justamente da Dell. Não tive uma experiência boa com ela :(,,subjetiva
7,0,Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC,,objetiva
8,-1,"Eu odeio esse notebook da Dell, mano, vocês não tem noção. #SaudadesSamsung",,subjetiva
9,0,"Notebook Dell Vostro V14T-5470-B30 Intel Core i5 4GB (2GB de Memória Dedicada) 500GB LED 14"" Touchscreen Windows 8... http://fb.me/J7liX8dJ",,objetiva
10,0,#DICA Compre um super notebook com qualidade Dell! Confira: http://goo.gl/mbRp7J  ??,,objetiva
11,0,Pense em qualidade ao comprar um notebook! Pense em Dell! ;) Compre com 5% de desconto à vista http://bit.ly/1K9xC32,,objetiva
12,0,Comece a semana com a qualidade de um Notebook Dell Inspiron e desconto de 5% à vista: http://bit.ly/1MmyNlw  =D,,objetiva
13,1,"@pontofrio quero mandar de volta e cancelar a compra, não gostei desse notebook prefiro muito mais um Dell depois dessa HP nunca mais.",,subjetiva
14,0,Análise: notebook Dell XPS 13 [vídeo] http://www.tecmundo.com.br/dell-xps-13/83034-analise-notebook-dell-xps-13-video.htm …,,objetiva
15,0,"*Notebook Dell Latitude E6410 Core i5 2.6, 8gb ram, hd 250gb.. R$1100 parcelo..",,objetiva
16,-1,@tmnobre Por nada! Eu tenho um notebook Dell e já passei muita dor de cabeça com ele.,,subjetiva
17,0,Gostei de um vídeo @YouTube de @eloisasemh http://youtu.be/2gZjHq0pQQY?a  UNBOXING NOTEBOOK DELL A40,,objetiva
18,1,"@Irma_Zuleide notebook gosto da marca dell. Sites: o próprio site da dell, americanas, magazine luiza",,subjetiva
19,0,Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC,,objetiva
20,1,VOLTA PRA MIM NOTEBOOK DA DELL SEU LINDO SINTO FALTA DE APERTAR SUAS TECLAS,,subjetiva
21,0,"VCM II ESCANER DE DIAGNOSTICO ORIGINAL FORD, MERCURY, LINCOLN U$ 550. *OPCIONAL NOTEBOOK DELL U$ 180. Plazo de... http://fb.me/6OUN7fMqB",,objetiva
22,-1,Comprar memória pro notebook? Impossível! O jeito é reclamar da Dell no @ReclameAQUI: http://www.reclameaqui.com.br/14509101/dell-computadores-do-brasil/impossivel-adicionar-memoria-ao-notebook/ … @DellnoBrasil @Dell @Dellajuda,,subjetiva
23,0,"ninguém ai quer comprar um notebook da dell, i5 não?",,objetiva
24,0,Gostei de um vídeo @YouTube http://youtu.be/wvAH8s5UQHs?aNVIDIA … Offboard-Como ativar placa de video dedicada notebook Dell,,objetiva
25,1,Tinha um notebook Dell com falantes JBL e era um show. Troquei por um HP com Beats... FUÉN,,subjetiva
26,0,Alguém tem um carregador de notebook da dell disponível ai pra doação? o meu já era...,,objetiva
27,0,Dell formatou meu notebook de graça via suporte remoto,,objetiva
28,-1,Que merda de notebook esse Dell de bosta,,subjetiva
29,0,Fonte carregadora notebook Dell - Alguém tem pra vender?,,objetiva
30,1,"Vou te trocar, notebook. Foi muito bom esses 5 anos q passamos juntos, love u mas n da p ser assim #dell #2011 Link permanente da imagem incorporada",,subjetiva
31,-1,"Estou extremamente insatisfeita com meu notebook Dell novo, pois a placa wireless Intel 7260 conectividade ruim @dellnoBrasil @intelbrasil",,subjetiva
32,0,Gostei de um vídeo @YouTube http://youtu.be/88yjAQgkn4k?a[REVIEW …] Notebook Dell Inspiron 14 Série 5000 (5447),,objetiva
33,-1,"A Dell viu meu nome e me vendeu o notebook com defeito, né possível! Um i5, 6GB de memória, q não rende o q uns i3 2GB rendem por ai ><",,subjetiva
34,0,shauhsauhs comprei meu notebook deus e pai dell grilado,,objetiva
35,1,@hey_mika Acredite a Dell é uma das poucas marcas  de notebook que ainda prestam. Tinha um notebook da HP que obsensor Wi Fi derretia...,,subjetiva
36,0,"@hey_mika e comprar um adaptador usb, a Dell falou pra mandar o notebook pra garantia, mas ela não garantia o conserto e etc ¯\_(?)_/¯",,objetiva
37,-1,"Meu notebook atual veio com antivírus McAfee. MEU DEUS COMO É RUIM! Por que a Dell trocou a Norton por eles, hein?",,subjetiva
38,0,Notebook Ultrafino Dell Vostro V14T-5470-A20 com Intel Core i5 4GB (2GB de Memória Dedicada)... http://fb.me/7xxI5q6DT,,objetiva
39,0,Gostei de um vídeo @YouTube http://youtu.be/wvAH8s5UQHs?aNVIDIA … Offboard-Como ativar placa de video dedicada notebook Dell,,objetiva
40,0,"Dell Latitude E6510 Notebook Computer, Intel ... http://twib.in/l/9jjyGrBLrGE  #laptop #corei7 , https://twibble.io",,objetiva
41,0,"@DellnoBrasil Olá,comprei uma bateria nova para meu notebook Dell inspiron N4050. Gostaria de saber qual o tempo da primeira carga.Obrigado!",,objetiva
42,0,Adicionei um vídeo a uma playlist @YouTube http://youtu.be/qwQ37Rmumxc?aPeixe … Dicas - Unboxing Notebook Dell Vostro 5470 a60,,objetiva
43,0,"NOTEBOOK DELL INSPIRON 5558 I7-5500U 16GB RAM 1TB DISCO 15.6"" 4GB-NVIDIA W8.1 AZUL PRECIO OFERTA $1560 DOLARES http://highpcsolutions.com/1/post/2015/09/notebook-dell-inspiron-5558-i7-5500u-16gb-ram-1tb-disco-156-4gb-nvidia-w81-azul-precio-oferta-1560-dolares.html …",,objetiva
44,0,O novo 2 em 1 Dell Inspiron 15 Série 7000 combina a versatilidade de um tablet com a produtividade de um notebook: http://buff.ly/1Q65phH,,objetiva
45,0,Vendo notebook Dell Vostro  Memória: 4gb DDR 3 HD: 500Gb Processador: Core i3 ** entrada HDMI ** 4 usb 3.0 **... http://fb.me/1VoIQpP7R,,objetiva
46,0,A Dell é uma empresa de soluções tecnológicas e criou o notebook 2 em 1 que pode ser aquele presente perfeito. O... http://fb.me/4adCzX8B3,,objetiva
47,1,"Esse notebook da Dell tem uma tela LINDA, mas dá problema toda hora em driver de vídeo e é o que eu mais uso.",,subjetiva
48,-1,"Quero comprar um notebook novo, esse aqui não dá mais, plmdds. Comprar da Dell foi a PIOR decisão que eu fiz, sério.",,subjetiva
49,0,"Notebook Dell I15-5548-B20 Intel Core i7 5ª geração por R$3.099,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-por-r3-09900-2/ …  Link permanente da imagem incorporada",,objetiva
50,0,"@Pirulla25 eu doaria para ajudar a comprar um notebook pra vc, R$3000 da pra comprar um Dell top, com placa de video e 8gb de ram",,objetiva
51,1,"@DellnoBrasil compraria fácil um celular da Dell, depois do notebook que comprei amei",,subjetiva
52,0,"Dell Latitude E6410 14"" Notebook Barbone, NO RAM,  HDD or CPU ,  MS528 …http://impressive-beautiful-products.buy2day.info/buy/01/?query=321852298960 …  Link permanente da imagem incorporada",,objetiva
53,0,"Alguem me indica marcas boas de notebook? (alem de dell, asus, apple)",,objetiva
54,0,Vendo Notebook dell vostro semi.novo.,,objetiva
55,0,Planejando dar as famosas Pedaladas Fiscais para adquirir um notebook dell fodasso,,objetiva
56,0,"Notebook Dell Inspiron +Mesa para Computador R$ 2.578,00 em até 10x ou R$ 2.320,20 à vista https://www.magazinevoce.com.br/magazinemrsiva/p/computadores-e-tablets/1503365/notebook-dell-inspiron-15-i15-3543-b30-intel-core-i5-4gb-1tb-mesa-para-computadorescrivaninha/122600/ …  Ver foto",,objetiva
57,0,Notebook dell processador i5 - 8gb de memoria - hd 320 gb - 400 reais,,objetiva
58,0,"Oferta no @no @submarino: Intel Core i3 • 4GB 1TB”. R$1.614,05 no boleto http://www.submarino.com.br/produto/123055562/notebook-dell-inspiron-i14-3442-b10-intel-core-i3-4gb-1tb-tela-led-14-windows-8.1-preto?opn=AFLNOVOSUB&epar=b2wafiliados&loja=03&chave=AFL-150831-61562&franq=AFL-03-135757 …",,objetiva
59,0,"Notebook Dell Inspiron 14 I14-3442-B10 Intel Core R$ 1.699,00 em 10x ou R$ 1.614,05 à vista https://www.magazinevoce.com.br/magazinemrsiva/p/notebook-dell-inspiron-14-i14-3442-b10-intel-core-i3-4gb-1tb-windows-81-led-14-hdmi/116679/ …  Link permanente da imagem incorporada",,objetiva
60,0,"Notebook Dell Inspiron 14 I14 3443 B30 Intel Core R$ 2.099,00 em até 10x de R$ 209,90 https://www.magazinevoce.com.br/magazinemrsiva/p/computadores-e-tablets/1503365/notebook-dell-inspiron-14-i14-3443-b30-intel-core-i5-4gb-1tb-windows-81-led-14-hdmi/119430/ …  Ver foto",,objetiva
61,-1,"É fácil, atrás de um notebook da Dell ou Iphone, julgar alguém que rala o dia todo para sustentar uma família e mostrar o futebol a filha.",,subjetiva
62,-1,alo @dell o notebook da @nicollechidiac ta com problema o modelo é esse aqui  Link permanente da imagem incorporada,,subjetiva
63,0,"O Inspiron 14 5000 Series é fino e conta com a 4ª geração de processadores Intel® Core™ para que seus jogos, seus... http://fb.me/6JgOH0s98",,objetiva
64,0,Nova Atualização! Dell relança o notebook poderoso Alienware 18 http://bit.ly/1KzbEdD  #RT aqui galera!,,objetiva
65,-2,"Pra ""Ajudar"" meu notebook não ta carregando, Dell ja enviou um novo carregador por correio... porém vai demorar... http://fb.me/7p0NERD9y",,subjetiva
66,-1,Notebook de 3mil dar problema para conectar Wi-Fi aff maria Dell,,subjetiva
67,-1,Acho que nessa semana o técnico da Dell vem buscar o notebook e trazer o novo -amém-,,subjetiva
68,0,"Dell Latitude E6500 15.4"" Notebook …http://special-online-deals-impressive-offers.newoffers.info/buy/01/?query=141761072897 …  Link permanente da imagem incorporada",,objetiva
69,0,Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … via @Olhar Digital,,objetiva
70,0,Análise: notebook Dell XPS 13 [vídeo],,objetiva
71,0,Semana Dell na Submarino: Veja ofertas de Notebook imperdíveis http://quenotebookcomprar.com.br/semana-dell-na-submarino-veja-ofertas-de-notebook-imperdiveis/ …,,objetiva
72,0,Bateria do meu notebook #Dell Inspiron N4050 já era. Depois de 4 longos anos.,,objetiva
73,0,"SOS DEALS >> http://ift.tt/1VjvmNP  #77714 Dell Latitude E6420 Notebook laptop computer - HD 14"" - Intel Core i5 …  Ver foto",,objetiva
74,-1,Meu notebook ficou zoado desde que a dell instalou o negócio de reconhecer rosto. Que ódio!,,subjetiva
75,1,@olhardigital Boa edição ^^ Mas a minha escolha para o notebook seria a da Dell. ^^,,subjetiva
76,0,Vendo   notebook Dell core i7 2.9Ghz em otimo estado de funcionamento e conservação R$ 1.400 Troco em TV 24 Pol... http://fb.me/7rG3oLp1F,,objetiva
77,0,alia?a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,,objetiva
78,0,Intel Core I3: Ofertas incríveis de Notebook Dell Intel Core I3.  de 177 produtos com ótimos… http://dlvr.it/C0JZ85  #MercadoLivre,,objetiva
79,0,"@SpotifyAjuda Olá! Uso a versão 1.0.13.108 gcd94e7db, dipositivo notebook dell windonws 8. Obrigada pela ajuda!",,objetiva
80,0,um dia quem sabe!!! http://fb.me/7sV9NTiV3,,objetiva
81,-2,1.600 dilmas pra concertar a tela do meu notebook @Dell? Com esse dinheiro eu compro um novo né kirido... ¬¬,,subjetiva
82,-1,Aguardando até agora a Assistência 24h da @Dell #DellBrazil. Você tem seus prazos para cumprir e seu notebook parado até quando?,,subjetiva
83,0,Olha que coisa mais linda  mais cheia de graça :3  Thiago Boanerges Josemar Lopes http://fb.me/6XxK7cPgX,,objetiva
84,0,"Notebook Dell I15-5548-B20 Intel Core i7 5ª geração por R$3.099,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-por-r3-09900/ …  Link permanente da imagem incorporada",,objetiva
