
texto, rótulo, rótulo_texto
"Ao contrário do filme de Jakubisk, onde há muitos desvios desnecessários e o filme não tem impacto, aqui os atores desconhecidos, a história tem impulso, e eu não tenho que pensar nas deficiências do filme.",0,subjective
Tão excelente quanto o primeiro com um enredo ainda mais complicado e uma visão perfeita do futuro.,0,subjetivo
"A atmosfera desagradável pode ser cortada, a diversidade e o horror oculto de todos os presentes são aperfeiçoados até o último detalhe, e mesmo que você tenha lido The Little Black Girls repetidamente em sua vida e saiba quem, quando e por quem mão vai pular, você ainda está preso ele rói as unhas como se não soubesse nada.",0,subjective
"De qualquer forma, se não a história, pelo menos o ambiente é interessante.",0,subjetivo
"Para o meu gosto, muita "conversa" e pouca ação.",0,subjetivo
"A história é tão engraçada e cativante que eu o perdoei em picossegundos por todo o conto de fadas e 'clichês' da Pixar e (eu realmente não sei o que mais poderia ser culpado por isso) ele encontrou emoções em mim por si só." ,0,subjetivo
Fazia tempo que não saía do cinema tão animado.,0,subjetivo
"Um amante de filmes semelhantes como eu também ficará satisfeito com a comparação constante de filmes antigos de Bond e outros papéis de Sean Connery, que como um orgulhoso escocês deve ter sido adorado pelos personagens principais.",0,subjective
"É fácil ignorar o enredo bobo porque o entusiasmo e o kung fu de Chan chamam toda a atenção.",0,subjective
"E tenho que admitir que não adormeci aqui nem uma vez, embora sejam quase duas horas de tédio como um porco.",0,subjective
"Uma demo infantil pateta, cujo principal charme para mim está na interação rítmica da canção de ninar que acompanha a música (não ouvi a dublagem e não tenho ideia se mantém essa qualidade).",0, subjetivo
"Eu não vejo isso como uma fraqueza, porque se o esquema biográfico básico for mantido, não há espaço para experimentos slasher.",0,subjective
"Crédito total para mim, capacete abaixado e Marshall, foda-se, porque eu não vou ceder agora.",0,subjective
"Não, você pode assistir se nada mais.",0,subjective
"É interessante ver como a América mudou nos quase 40 anos que separam os dois filmes...",0,subjetivo
"O enredo não me parece tão terrivelmente irrealista (eu sei pior) seria cerca de 70%, mas eu gosto de Jan Dolanský, então 4*",0,subjetivo
"Grande elenco, as meninas eram lindas e sabiam até atuar, eu tinha meus preferidos e tinha uns babacas que eu queria ver mortos, na verdade eu gostei muito, mesmo sendo uma merda terrível, o único problema eram as pedras retardadas , foi só uma merda que nem é possível, completa inutilidade, se eles pensassem melhor, eu iria com a classificação ainda mais alta, mas assim foi apenas uma vaca engraçada que entreteve, mas provavelmente nunca vou olhe de novo, ",0,subjetivo
Eu só gostei da sequência de transformação.,0,subjetivo
"Pessoalmente, eu não me importei com a falta de uma atmosfera de guerra, porque isso levaria a história de volta e a sufocaria.",0,subjective
"Eu me diverti muito e, se alguma vez dei 3 estrelas a um filme de Stiller, tenho que dar 4 porque ele merece, não é tão estúpido e direto quanto você esperaria de Stiller (ou mesmo se, tipo, nunca).." ,0,subjetivo
"De qualquer forma, lembro que me impressionou no livro como todos a perdoam por tudo - a vizinha despreocupada, o lojista e os outros...",0,subjetivo
Era estúpido, mas era assistível.,0,subjetivo
"Fargo lembrará disso a todos e, embora seja apenas 3% menos, é vários níveis pior.",0,subjective
O lado visual anda de mãos dadas com as excelentes composições.,0,subjetivo
"No entanto, quanto mais o roteiro se concentra na investigação, mais sua concepção mal-feita na maioria dos aspectos se torna aparente.",0,subjetivo
Há uma perda completa de informações de cor.,0,subjetivo
"Só não sei até que ponto será apreciado por adolescentes sem visão e mulheres na pós-menopausa.",0,subjetivo
"Eu nem consegui recuperar o fôlego depois do segundo episódio, essa é uma grande parte do meu tópico favorito - o metashow.",0,subjective
Michael e Chris - ótima dupla.,0,subjetivo
Um segundo muito infeliz e envergonhado por uma clavícula quebrada e o trabalho final da faca asteca.,0,subjetivo
No final, você nem vai notar que Gravity não tem história nenhuma.,0,subjetivo
"Eu me forcei com unhas e dentes a dar três estrelas, cada uma para um bom ator (Hašek, Bartoška, ​​​​Hrušínský).",0,subjective
"Filme clássico de Norris, há melhores e piores, não ofendeu, talvez até agradou, mas não o incluiria entre os tesouros dos filmes de ação dos anos 80.",0,subjetivo
Espero que valha a pena.,0,subjetivo
"Aparentemente, Yuzna esgotou o torturador dental já no primeiro e nenhuma ideia inovadora veio, então só temos um exame odontológico adequado, mas o resto do assassinato mais clássico também não deve ser jogado fora.",0,subjective
